"countryCode","stateProvince","higherClassification","month","locality","higherGeography","sex","decimalLatitude","decimalLongitude","dateIdentified","coordinateUncertaintyInMeters","footprintWKT","country"
"CA","British Columbia",NA,1,NA,NA,NA,1472087.6944529,1190020.95523271,"2023-01-06T00:43:49",5,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,563562.824312153,1462319.73432886,"2023-02-06T19:17:31",43,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,546191.414113545,1490634.955971,"2023-02-14T06:54:19",28,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,624101.214988161,1391258.76538685,"2023-03-01T02:28:18",4,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,515835.667110543,1601674.81332534,"2023-03-08T06:38:30",24,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,808936.345558675,1262036.27733912,"2022-01-27T05:38:08",212,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,646967.144542837,1396472.73288538,"2022-03-13T21:42:04",136,NA,"Canada"
"CA","British Columbia",NA,1,NA,NA,NA,647160.96107202,1396288.11547139,"2023-01-21T21:41:14",113,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,647308.182398395,1396583.19841963,"2022-02-06T06:55:11",149,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,647188.464821106,1396538.33694948,"2022-02-18T06:33:25",122,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,647194.159233213,1396785.19541078,"2022-02-18T22:20:51",61,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,647188.811780796,1396911.54434257,"2022-02-19T05:12:43",61,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,1008468.94952396,1205743.63498702,"2022-02-21T04:18:54",4,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,647235.289800829,1396293.10960817,"2022-02-23T01:22:30",48,NA,"Canada"
"CA","British Columbia",NA,2,NA,NA,NA,578685.791649468,1374128.64000749,"2022-03-03T20:11:42",8,NA,"Canada"
"CA","British Columbia",NA,3,NA,NA,NA,1132551.5523542,1140334.11456047,"2022-03-26T03:56:29",25622,NA,"Canada"
